|        a         |        b         | s |       out        |
| 0001101110110111 | 0010010111001110 | 0 | 0100000110000101 |
| 0001111101011001 | 0000101111000000 | 0 | 0010101100011001 |
| 0000111010010111 | 0001001010101011 | 1 | 1111101111101100 |
| 0000101010010011 | 0001111011101111 | 0 | 0010100110000010 |
| 0001111011001111 | 0000111110101001 | 1 | 0000111100100110 |
| 0000011001001101 | 0010001001000001 | 0 | 0010100010001110 |
| 0000100001100100 | 0001111011001100 | 1 | 1110100110011000 |
| 0000010100110101 | 0010011000101100 | 0 | 0010101101100001 |
| 0010001111001001 | 0000100110110001 | 1 | 0001101000011000 |
| 0010000010110010 | 0010000110100110 | 0 | 0100001001011000 |
| 0001010010100011 | 0001001101010000 | 0 | 0010011111110011 |
| 0001000111001000 | 0000011110010110 | 1 | 0000101000110010 |
| 0001010110001011 | 0001001100010100 | 0 | 0010100010011111 |
| 0010000000001101 | 0001001000001110 | 0 | 0011001000011011 |
| 0010001101010101 | 0000100000100101 | 1 | 0001101100110000 |
| 0001110001011010 | 0001011000010110 | 0 | 0011001001110000 |
| 0010000001100000 | 0001110001111101 | 1 | 0000001111100011 |
| 0000110000101010 | 0000110011001110 | 1 | 1111111101011100 |
| 0001010011101011 | 0000010010000111 | 0 | 0001100101110010 |
| 0001011010111101 | 0010001000011101 | 0 | 0011100011011010 |
| 0010001010100101 | 0001011000111001 | 0 | 0011100011011110 |
| 0010000111000011 | 0000010000101001 | 1 | 0001110110011010 |
| 0000011100101110 | 0000110100101111 | 0 | 0001010001011101 |
| 0001111101010010 | 0000010000010110 | 1 | 0001101100111100 |
| 0010010010010110 | 0000010011100111 | 1 | 0001111110101111 |
| 0001011100011110 | 0001011111010011 | 1 | 1111111101001011 |
| 0001110111100101 | 0010001100111011 | 0 | 0100000100100000 |
| 0001110001000110 | 0000111010011010 | 1 | 0000110110101100 |
| 0010011011100010 | 0001010001100010 | 0 | 0011101101000100 |
| 0000100100110010 | 0001010010001010 | 0 | 0001110110111100 |
| 0000010000010011 | 0001000011011011 | 0 | 0001010011101110 |
| 0000110100101101 | 0000111011011011 | 1 | 1111111001010010 |
| 0001111000001111 | 0001110100011101 | 0 | 0011101100101100 |
| 0010000101110000 | 0001101101011101 | 0 | 0011110011001101 |
| 0001110010100010 | 0010011010110111 | 0 | 0100001101011001 |
| 0010001111100100 | 0001011110001110 | 0 | 0011101101110010 |
| 0010011011101110 | 0001000111010011 | 1 | 0001010100011011 |
| 0001100100101110 | 0001010000111000 | 0 | 0010110101100110 |
| 0000011100000001 | 0000100000001010 | 0 | 0000111100001011 |
| 0001010000000000 | 0001010011001011 | 0 | 0010100011001011 |
| 0001110000010010 | 0001010001100001 | 1 | 0000011110110001 |
| 0000011100010010 | 0000111000001011 | 0 | 0001010100011101 |
| 0000010101110101 | 0000110001100000 | 1 | 1111100100010101 |
| 0000111111100110 | 0000111100010111 | 1 | 0000000011001111 |
| 0001001011001101 | 0001111100100100 | 1 | 1111001110101001 |
| 0000111010010000 | 0001011111010000 | 0 | 0010011001100000 |
| 0000100001010110 | 0001110000010010 | 0 | 0010010001101000 |
| 0000110101100000 | 0001111101011100 | 1 | 1110111000000100 |
| 0001010101001010 | 0000010000100011 | 0 | 0001100101101101 |
| 0000101010111000 | 0000010111010011 | 0 | 0001000010001011 |
| 0001011011011111 | 0000111011001111 | 1 | 0000100000010000 |
| 0001001011111010 | 0001001100010100 | 1 | 1111111111100110 |
| 0000101100110001 | 0000010000010100 | 0 | 0000111101000101 |
| 0001011000111110 | 0000011010011110 | 1 | 0000111110100000 |
| 0001101010110110 | 0001011101010010 | 1 | 0000001101100100 |
| 0000110000101101 | 0000111111111011 | 0 | 0001110000101000 |
| 0000100100001111 | 0000010100000010 | 0 | 0000111000010001 |
| 0010010010100100 | 0001110000111000 | 0 | 0100000011011100 |
| 0001000100000001 | 0001111100110100 | 1 | 1111000111001101 |
| 0000011010100110 | 0010011010101001 | 0 | 0010110101001111 |
| 0001011111111101 | 0000101010101001 | 0 | 0010001010100110 |
| 0001101000100101 | 0000011000010110 | 1 | 0001010000001111 |
| 0001010111111001 | 0000111101101001 | 0 | 0010010101100010 |
| 0000101110000100 | 0001010011100011 | 0 | 0010000001100111 |
| 0010011000001000 | 0000010010111001 | 1 | 0010000101001111 |
| 0001101000111111 | 0001010000001010 | 1 | 0000011000110101 |
| 0000101101110001 | 0000111100000001 | 0 | 0001101001110010 |
| 0001111010110000 | 0001100000001010 | 0 | 0011011010111010 |
| 0000110001111011 | 0000110010101011 | 0 | 0001100100100110 |
| 0001101101111110 | 0000101100011100 | 1 | 0001000001100010 |
| 0001101010011100 | 0001101010110011 | 1 | 1111111111101001 |
| 0000111101000010 | 0010010001011110 | 0 | 0011001110100000 |
| 0001100011000111 | 0000110000000001 | 1 | 0000110011000110 |
| 0000010111101000 | 0000110101101011 | 1 | 1111100001111101 |
| 0000100010110100 | 0010000101110111 | 0 | 0010101000101011 |
| 0000100010110111 | 0000011111100110 | 1 | 0000000011010001 |
| 0010000111011010 | 0010001001001010 | 0 | 0100010000100100 |
| 0001111011101110 | 0000011100001000 | 0 | 0010010111110110 |
| 0000011100111100 | 0001110001001110 | 1 | 1110101011101110 |
| 0001110010111001 | 0000100111111010 | 0 | 0010011010110011 |
| 0001111110101110 | 0001111101010011 | 0 | 0011111100000001 |
| 0001000111110101 | 0001100000111111 | 0 | 0010101000110100 |
| 0001111111111010 | 0001000010101101 | 1 | 0000111101001101 |
| 0000010000010000 | 0000100111110100 | 1 | 1111101000011100 |
| 0000110100011100 | 0001101100110000 | 0 | 0010100001001100 |
| 0000111111001001 | 0001111000010110 | 0 | 0010110111011111 |
| 0000110001010000 | 0010001110001010 | 0 | 0010111111011010 |
| 0000100101001100 | 0010010100010100 | 0 | 0010111001100000 |
| 0001101011010101 | 0010010100000011 | 1 | 1111010111010010 |
| 0001001001101000 | 0010010011000111 | 1 | 1110110110100001 |
| 0000011000000011 | 0001010110011000 | 1 | 1111000001101011 |
| 0000011110101000 | 0001000100001110 | 0 | 0001100010110110 |
| 0001100101101001 | 0001010011111000 | 1 | 0000010001110001 |
| 0000011011000010 | 0010001001100101 | 0 | 0010100100100111 |
| 0001010001101101 | 0010001001000100 | 1 | 1111001000101001 |
| 0000100010000001 | 0010001001110100 | 0 | 0010101011110101 |
| 0001110100000001 | 0001111100100100 | 0 | 0011110000100101 |
| 0001001100111100 | 0010010010110011 | 0 | 0011011111101111 |
| 0000110100000111 | 0000111011011000 | 1 | 1111111000101111 |
| 0001110101110010 | 0001000101110011 | 0 | 0010111011100101 |
| 0010010110100100 | 0000111101010111 | 0 | 0011010011111011 |
| 0000011010101110 | 0000110110011110 | 0 | 0001010001001100 |
| 0001110110011100 | 0001100101100001 | 1 | 0000010000111011 |
| 0000100100010011 | 0001001100010110 | 0 | 0001110000101001 |
| 0001100111111000 | 0010001101001100 | 0 | 0011110101000100 |
| 0001001101001010 | 0010000111101010 | 0 | 0011010100110100 |
| 0000110101010100 | 0010000011110010 | 0 | 0010111001000110 |
| 0001011111111101 | 0000100010011000 | 1 | 0000111101100101 |
| 0000111100111101 | 0001000110110101 | 0 | 0010000011110010 |
| 0010001110011101 | 0001110000000110 | 0 | 0011111110100011 |
| 0000110110011110 | 0001100111110110 | 0 | 0010011110010100 |
| 0010010011100011 | 0010000001010001 | 0 | 0100010100110100 |
| 0001111010010000 | 0001001110000010 | 0 | 0011001000010010 |
| 0010011010010100 | 0010000001000111 | 0 | 0100011011011011 |
| 0001101111110011 | 0001101010111000 | 0 | 0011011010101011 |
| 0010000100001000 | 0001101110111011 | 1 | 0000010101001101 |
| 0010001001101011 | 0010001011000010 | 1 | 1111111110101001 |
| 0001000001100101 | 0000110101110011 | 1 | 0000001011110010 |
| 0010010101101010 | 0000011111001010 | 0 | 0010110100110100 |
| 0000100010101110 | 0000101011100110 | 1 | 1111110111001000 |
| 0001101110111000 | 0000011001111101 | 1 | 0001010100111011 |
| 0001101110000100 | 0001110100001000 | 0 | 0011100010001100 |
| 0000110101100111 | 0000101100101001 | 0 | 0001100010010000 |
| 0001000000110000 | 0001011101101001 | 1 | 1111100011000111 |
| 0001110100101100 | 0000101011111011 | 0 | 0010100000100111 |
| 0000011111101101 | 0001000110101011 | 0 | 0001100110011000 |
| 0001101011100000 | 0010001111100110 | 0 | 0011111011000110 |
| 0000101111111100 | 0000110000111001 | 1 | 1111111111000011 |
| 0001000001000000 | 0000011000100100 | 0 | 0001011001100100 |
| 0000011001101110 | 0001110000110000 | 0 | 0010001010011110 |
| 0001100110011100 | 0001001001011101 | 1 | 0000011100111111 |
| 0001111101011000 | 0000111100111111 | 1 | 0001000000011001 |
| 0000110000000001 | 0010001101110111 | 0 | 0010111101111000 |
| 0001110110011011 | 0001000111101010 | 0 | 0010111110000101 |
| 0010010001101100 | 0001111101001111 | 0 | 0100001110111011 |
| 0000111111111011 | 0001010011001100 | 1 | 1111101100101111 |
| 0001100110011110 | 0000100111000001 | 1 | 0000111111011101 |
| 0001101011110101 | 0000110010110000 | 0 | 0010011110100101 |
| 0000111100100010 | 0000100100010100 | 0 | 0001100000110110 |
| 0001110111111001 | 0001000111101011 | 1 | 0000110000001110 |
| 0001001111011010 | 0001010111110001 | 0 | 0010100111001011 |
| 0001010001110110 | 0000110010010101 | 1 | 0000011111100001 |
| 0010010010000111 | 0001000111010110 | 1 | 0001001010110001 |
| 0000011001000011 | 0001100010100110 | 0 | 0001111011101001 |
| 0000011111100100 | 0000110010100110 | 0 | 0001010010001010 |
| 0001010011100010 | 0000111100011010 | 0 | 0010001111111100 |
| 0001001000010001 | 0000010101000010 | 0 | 0001011101010011 |
| 0010000101011110 | 0001000001010011 | 0 | 0011000110110001 |
| 0010010001101001 | 0000011100110110 | 0 | 0010101110011111 |
| 0000101001100000 | 0000010011111110 | 0 | 0000111101011110 |
| 0000110010010000 | 0000111100101000 | 1 | 1111110101101000 |
| 0001010101101011 | 0001010000110101 | 0 | 0010100110100000 |
| 0001001110111001 | 0001110100011110 | 1 | 1111011010011011 |
| 0010010001010111 | 0001110011111010 | 1 | 0000011101011101 |
| 0001100000010001 | 0010011000001010 | 1 | 1111001000000111 |
| 0001010111000011 | 0000101010000100 | 1 | 0000101100111111 |
| 0001101011001100 | 0010001101011100 | 1 | 1111011101110000 |
| 0000010110111010 | 0000110111010000 | 1 | 1111011111101010 |
| 0001101001001111 | 0000111011000100 | 1 | 0000101110001011 |
| 0000101111010110 | 0010010100101110 | 1 | 1110011010101000 |
| 0001101100100000 | 0010000111111000 | 0 | 0011110100011000 |
| 0001011100101100 | 0001011100101110 | 1 | 1111111111111110 |
| 0010000100100100 | 0010010000010000 | 1 | 1111110100010100 |
| 0001110110101100 | 0000101101011111 | 0 | 0010100100001011 |
| 0010010000001111 | 0010011000011000 | 0 | 0100101000100111 |
| 0001011100000110 | 0000110010111011 | 0 | 0010001111000001 |
| 0010011000001010 | 0000101010001010 | 1 | 0001101110000000 |
| 0000010000110011 | 0000110001001000 | 1 | 1111011111101011 |
| 0000101100101001 | 0000111101000011 | 1 | 1111101111100110 |
| 0000100010111110 | 0000111111101010 | 0 | 0001100010101000 |
| 0001010100101101 | 0001110101010011 | 1 | 1111011111011010 |
| 0001111000010011 | 0000110010000101 | 1 | 0001000110001110 |
| 0010011011010010 | 0001011011001101 | 0 | 0011110110011111 |
| 0000010101111110 | 0001011000011110 | 1 | 1110111101100000 |
| 0010001100000101 | 0000111111000101 | 1 | 0001001101000000 |
| 0001100101110011 | 0000100010011000 | 0 | 0010001000001011 |
| 0001110011000010 | 0001011110110101 | 0 | 0011010001110111 |
| 0000110011110011 | 0000100000000010 | 1 | 0000010011110001 |
| 0001011001110011 | 0010010100111100 | 1 | 1111000100110111 |
| 0001111100101001 | 0000010101101101 | 1 | 0001100110111100 |
| 0001100001110001 | 0000100101001100 | 1 | 0000111100100101 |
| 0000101110111110 | 0000010110100011 | 0 | 0001000101100001 |
| 0001010111110011 | 0010011011111100 | 0 | 0011110011101111 |
| 0001111010010001 | 0000011000001001 | 0 | 0010010010011010 |
| 0000110011001100 | 0000011011010111 | 0 | 0001001110100011 |
| 0000110001111101 | 0010010101101010 | 1 | 1110011100010011 |
| 0010011000011111 | 0000100111000010 | 1 | 0001110001011101 |
| 0001100100110111 | 0001111010010111 | 0 | 0011011111001110 |
| 0001010101000100 | 0000010000110110 | 1 | 0001000100001110 |
| 0001110101011110 | 0000010000000001 | 1 | 0001100101011101 |
| 0001001001111111 | 0000111011011100 | 1 | 0000001110100011 |
| 0001101000001111 | 0010000000111101 | 1 | 1111100111010010 |
| 0010011010000110 | 0001010000010111 | 1 | 0001001001101111 |
| 0001000000101111 | 0000011110100110 | 1 | 0000100010001001 |
| 0000110011010111 | 0000111011111010 | 1 | 1111110111011101 |
| 0000100010111000 | 0000111000000100 | 0 | 0001011010111100 |
| 0001011011110101 | 0010001111101111 | 0 | 0011101011100100 |
| 0010001101111000 | 0000110001010100 | 0 | 0010111111001100 |
| 0001000111001011 | 0001001111100000 | 0 | 0010010110101011 |
| 0010000000110101 | 0000110101111100 | 1 | 0001001010111001 |
| 0000011111111001 | 0001101110010011 | 1 | 1110110001100110 |
| 0000010100010011 | 0000100011010101 | 0 | 0000110111101000 |
| 0010010000110110 | 0001110001000000 | 0 | 0100000001110110 |
| 0000100011001101 | 0000011001110110 | 1 | 0000001001010111 |
| 0010000111000111 | 0010001010111110 | 1 | 1111111100001001 |
| 0010010000000100 | 0001001001001011 | 0 | 0011011001001111 |
| 0000111100010001 | 0001011100011101 | 0 | 0010011000101110 |
| 0010010100100111 | 0010010000101000 | 0 | 0100100101001111 |
| 0001011010111111 | 0000011001111110 | 0 | 0001110100111101 |
| 0000111110001000 | 0010010000100111 | 0 | 0011001110101111 |
| 0010000010000110 | 0000100101111100 | 1 | 0001011100001010 |
| 0000011100100010 | 0010001010010110 | 1 | 1110010010001100 |
| 0010001000011100 | 0010000000001011 | 0 | 0100001000100111 |
| 0001101110101111 | 0001010001001110 | 1 | 0000011101100001 |
| 0000110100010011 | 0001100010000011 | 0 | 0010010110010110 |
| 0010000101111010 | 0000010110110011 | 1 | 0001101111000111 |
| 0001000001000011 | 0001111111101100 | 1 | 1111000001010111 |
| 0010001000110110 | 0000111111111010 | 1 | 0001001000111100 |
| 0000110010000111 | 0001101111011001 | 0 | 0010100001100000 |
| 0001011011001110 | 0001011111001110 | 1 | 1111111100000000 |
| 0000010110011000 | 0010000010100010 | 1 | 1110010011110110 |
| 0000100111100010 | 0000111110100111 | 1 | 1111101000111011 |
| 0001000011101010 | 0000111000101010 | 0 | 0001111100010100 |
| 0000011100101010 | 0001110011010111 | 1 | 1110101001010011 |
| 0001010110010001 | 0010011100001010 | 1 | 1110111010000111 |
| 0001001010000101 | 0000110110100100 | 1 | 0000010011100001 |
| 0001110010011011 | 0010001000111111 | 0 | 0011111011011010 |
| 0010010000001101 | 0000110100110100 | 1 | 0001011011011001 |
| 0000110010101111 | 0000110100101010 | 1 | 1111111110000101 |
| 0001001001111110 | 0001110001100110 | 1 | 1111011000011000 |
| 0010011000001011 | 0001010010100010 | 1 | 0001000101101001 |
| 0010001001000011 | 0000111100010010 | 1 | 0001001100110001 |
| 0000110110110001 | 0000010010011110 | 0 | 0001001001001111 |
| 0001111000110110 | 0001000000101110 | 1 | 0000111000001000 |
| 0000111101001110 | 0001111101101001 | 0 | 0010111010110111 |
| 0001100001101101 | 0001110010010111 | 1 | 1111101111010110 |
| 0001100001110110 | 0000010110110111 | 1 | 0001001010111111 |
| 0000010100100111 | 0001101000010100 | 1 | 1110101100010011 |
| 0000100010111011 | 0010011010111010 | 0 | 0010111101110101 |
| 0001110010011110 | 0000010100010100 | 1 | 0001011110001010 |
| 0010011000011010 | 0000110111101000 | 0 | 0011010000000010 |
| 0001010110010011 | 0001110010000100 | 0 | 0011001000010111 |
| 0000010100001011 | 0001101110001001 | 0 | 0010000010010100 |
| 0001000110000011 | 0000011001000010 | 1 | 0000101101000001 |
| 0000100100010101 | 0001001011010010 | 0 | 0001101111100111 |
| 0001111111100010 | 0001000000000110 | 0 | 0010111111101000 |
| 0010010000110000 | 0001001111110011 | 0 | 0011100000100011 |
| 0001011011001011 | 0001011101111001 | 1 | 1111111101010010 |
| 0000101101010010 | 0000010001100110 | 1 | 0000011011101100 |
| 0000100100000100 | 0001010111001110 | 1 | 1111001100110110 |
| 0001011001101011 | 0010001100111101 | 0 | 0011100110101000 |
| 0001101111011100 | 0000111111111110 | 1 | 0000101111011110 |
| 0000111111000010 | 0010001110000001 | 0 | 0011001101000011 |
| 0000100011100000 | 0000111001010110 | 0 | 0001011100110110 |
| 0000110111111011 | 0000011000011010 | 1 | 0000011111100001 |
| 0001101011101101 | 0001101111001111 | 0 | 0011011010111100 |
| 0010001000000111 | 0001000010110001 | 0 | 0011001010111000 |
| 0001010000011001 | 0000111100000001 | 0 | 0010001100011010 |
| 0001111000110110 | 0001110011010110 | 1 | 0000000101100000 |
| 0001011100101101 | 0000010111000010 | 1 | 0001000101101011 |
| 0001000101100110 | 0001101001000100 | 0 | 0010101110101010 |
| 0001111100010001 | 0001111001000010 | 0 | 0011110101010011 |
| 0000101101110111 | 0000010100100010 | 1 | 0000011001010101 |
| 0000010111110101 | 0001010000100111 | 0 | 0001101000011100 |
| 0001100001010101 | 0001000101000110 | 1 | 0000011100001111 |
| 0001110101011110 | 0000010000111110 | 0 | 0010000110011100 |
| 0000101111010110 | 0010011011101110 | 1 | 1110010011101000 |
| 0001111010001011 | 0000111111100101 | 0 | 0010111001110000 |
| 0001110000100111 | 0000111100010110 | 0 | 0010101100111101 |
| 0010001100000000 | 0000111000100110 | 0 | 0011000100100110 |
| 0000111101000101 | 0000100000010010 | 0 | 0001011101010111 |
| 0010010000000110 | 0001001101000101 | 1 | 0001000011000001 |
| 0010000000100010 | 0001101101110001 | 1 | 0000010010110001 |
| 0001010101101010 | 0010000001110100 | 1 | 1111010011110110 |
| 0000100010000100 | 0010011001111101 | 0 | 0010111100000001 |
| 0000010001100101 | 0001010010001100 | 1 | 1110111111011001 |
| 0000100111100010 | 0001000011110100 | 1 | 1111100011101110 |
| 0001100111101011 | 0001000100111001 | 1 | 0000100010110010 |
| 0000101111100010 | 0000110110101000 | 1 | 1111111000111010 |
| 0000100110111001 | 0000010111101101 | 0 | 0000111110100110 |
| 0001110111111001 | 0001110011011000 | 0 | 0011101011010001 |
| 0000111010101101 | 0001100000010111 | 0 | 0010011011000100 |
| 0010010000000000 | 0001011000110110 | 0 | 0011101000110110 |
| 0010010000111010 | 0010011011110010 | 1 | 1111110101001000 |
| 0001100011110001 | 0001010001010110 | 0 | 0010110101000111 |
| 0010000011110001 | 0001101110010000 | 0 | 0011110010000001 |
| 0010011001100011 | 0001110010101110 | 0 | 0100001100010001 |
| 0010001000010000 | 0001100101011110 | 1 | 0000100010110010 |
| 0001010101000101 | 0000101011010011 | 0 | 0010000000011000 |
| 0001011111011011 | 0001000010011011 | 0 | 0010100001110110 |
| 0001101111111101 | 0010001010110100 | 0 | 0011111010110001 |
| 0001010101001100 | 0001100111101101 | 1 | 1111101101011111 |
| 0001101001001001 | 0001010101111111 | 0 | 0010111111001000 |
| 0000111001111110 | 0010000011101000 | 0 | 0010111101100110 |
| 0001101001100001 | 0000110111111100 | 1 | 0000110001100101 |
| 0001101100100011 | 0000011001110110 | 1 | 0001010010101101 |
| 0001110101101111 | 0001011101101011 | 0 | 0011010011011010 |
| 0001010010000101 | 0001001100010001 | 0 | 0010011110010110 |
| 0010011010001001 | 0000111101000101 | 0 | 0011010111001110 |
| 0000101110110000 | 0010001110011110 | 0 | 0010111101001110 |
| 0001110111010110 | 0001011100111000 | 1 | 0000011010011110 |
| 0001111111010000 | 0001111100011100 | 0 | 0011111011101100 |
| 0000101000111000 | 0010000011111111 | 0 | 0010101100110111 |
| 0001110111101110 | 0000100000101100 | 1 | 0001010111000010 |
| 0001000111000111 | 0000101001011000 | 1 | 0000011101101111 |
| 0001111001001000 | 0001111101111001 | 1 | 1111111011001111 |
| 0000110110100011 | 0010001010001010 | 0 | 0011000000101101 |
| 0001001101100101 | 0010010111000000 | 0 | 0011100100100101 |
| 0001110000000111 | 0000011001100100 | 1 | 0001010110100011 |
| 0001100100111110 | 0000010010111000 | 1 | 0001010010000110 |
| 0001101110010010 | 0001101011011100 | 0 | 0011011001101110 |
| 0001101111001011 | 0000110111001011 | 0 | 0010100110010110 |
| 0000111000010101 | 0001101001000100 | 1 | 1111001111010001 |
| 0010011011100110 | 0001010000000000 | 0 | 0011101011100110 |
| 0001110010101100 | 0000011001010110 | 1 | 0001011001010110 |
| 0001000010101001 | 0001011000101100 | 1 | 1111101001111101 |
| 0001011100100110 | 0010001000111010 | 1 | 1111010011101100 |
| 0010000100011001 | 0001111000101010 | 1 | 0000001011101111 |
| 0001101000001111 | 0010001001110100 | 1 | 1111011110011011 |
| 0010010111101110 | 0000011100110100 | 1 | 0001111010111010 |
| 0001001011100000 | 0010010111001100 | 1 | 1110110100010100 |
| 0001011111110011 | 0000111111011001 | 1 | 0000100000011010 |
| 0001010000011100 | 0000110001010100 | 1 | 0000011111001000 |
| 0001110010000000 | 0001011110001111 | 0 | 0011010000001111 |
| 0000100100000111 | 0001100001110111 | 0 | 0010000101111110 |
| 0001110111011111 | 0000010000100010 | 0 | 0010001000000001 |
| 0001001011101001 | 0000110011011011 | 0 | 0001111111000100 |
| 0001010010011000 | 0000111001001111 | 1 | 0000011001001001 |
| 0001001011000011 | 0001110011100101 | 1 | 1111010111011110 |
| 0000110000100100 | 0001001010111000 | 0 | 0001111011011100 |
| 0010011011011100 | 0010000110110110 | 1 | 0000010100100110 |
| 0000011101110011 | 0001101110110101 | 0 | 0010001100101000 |
| 0001101011001001 | 0000111010111001 | 1 | 0000110000010000 |
| 0010001101000111 | 0001011000101001 | 1 | 0000110100011110 |
| 0001001011111000 | 0001010000111001 | 1 | 1111111010111111 |
| 0001111001000111 | 0001010101100011 | 1 | 0000100011100100 |
| 0000110100100110 | 0001011011010011 | 0 | 0010001111111001 |
| 0000011001100011 | 0000100011100011 | 1 | 1111110110000000 |
| 0001111101100110 | 0010010100011100 | 0 | 0100010010000010 |
| 0001110101101111 | 0000010010111100 | 1 | 0001100010110011 |
| 0001100011000010 | 0010000000010000 | 1 | 1111100010110010 |
| 0001100100110010 | 0000010101010110 | 0 | 0001111010001000 |
| 0001100110110111 | 0000011110001000 | 0 | 0010000100111111 |
| 0001100010000111 | 0010011011011110 | 0 | 0011111101100101 |
| 0000110101100110 | 0000011011011001 | 0 | 0001010000111111 |
| 0000111110100101 | 0000101100110001 | 0 | 0001101011010110 |
| 0010010010010011 | 0000111010000011 | 0 | 0011001100010110 |
| 0000100111100001 | 0001100011101011 | 1 | 1111000011110110 |
| 0001001111000111 | 0000010110011101 | 1 | 0000111000101010 |
| 0001110110010110 | 0010000000100111 | 1 | 1111110101101111 |
| 0001100110011010 | 0000011111010010 | 1 | 0001000111001000 |
| 0000010110001001 | 0001100111010010 | 1 | 1110101110110111 |
| 0001010100011001 | 0000111110101101 | 0 | 0010010011000110 |
| 0001110000000001 | 0001000101101111 | 0 | 0010110101110000 |
| 0000010010011101 | 0010001101001111 | 1 | 1110000101001110 |
| 0010011000011110 | 0001110111011100 | 0 | 0100001111111010 |
| 0001111000001111 | 0001100010100111 | 0 | 0011011010110110 |
| 0001101011000010 | 0001010100010011 | 0 | 0010111111010101 |
| 0001001101010001 | 0001111011101101 | 1 | 1111010001100100 |
| 0001000110011001 | 0001111000000100 | 0 | 0010111110011101 |
| 0001101111010011 | 0001100001110011 | 0 | 0011010001000110 |
| 0000010000010110 | 0000111001011101 | 1 | 1111010110111001 |
| 0000111010001100 | 0001101100011110 | 0 | 0010100110101010 |
| 0010010010010000 | 0000100111001011 | 1 | 0001101011000101 |
| 0001001100001100 | 0000010111010100 | 0 | 0001100011100000 |
| 0000010000111000 | 0000010110100001 | 1 | 1111111010010111 |
| 0001011001000000 | 0001000110010100 | 1 | 0000010010101100 |
| 0000100011011000 | 0001100001100001 | 0 | 0010000100111001 |
| 0000010000000001 | 0010000111101111 | 1 | 1110001000010010 |
| 0000011111100111 | 0001000110001000 | 1 | 1111011001011111 |
| 0000111011000110 | 0001101000010110 | 0 | 0010100011011100 |
