| time | address | load |  in   |  out  |
| 30   |      59 |    1 | 10994 | 10994 |
| 30+  |      26 |    0 | 10994 |     0 |
| 31   |      26 |    0 | 10994 |     0 |
| 31+  |       4 |    0 | 10994 |     0 |
| 32   |       4 |    0 | 10994 |     0 |
| 32+  |      26 |    1 | 25890 |     0 |
| 33   |      26 |    1 | 25890 | 25890 |
| 33+  |      47 |    0 | 25890 |     0 |
| 34   |      47 |    0 | 25890 |     0 |
| 34+  |       5 |    1 |  6742 |     0 |
| 35   |       5 |    1 |  6742 |  6742 |
| 35+  |      37 |    1 | 20874 |     0 |
| 36   |      37 |    1 | 20874 | 20874 |
| 36+  |      50 |    0 | 20874 | 24338 |
| 37   |      50 |    0 | 20874 | 24338 |
| 37+  |      23 |    0 | 20874 |     0 |
| 38   |      23 |    0 | 20874 |     0 |
| 38+  |      42 |    1 | 15284 | 16908 |
| 39   |      42 |    1 | 15284 | 15284 |
| 39+  |      53 |    1 | 32133 | 12699 |
| 40   |      53 |    1 | 32133 | 32133 |
| 40+  |      26 |    1 |  7503 | 25890 |
| 41   |      26 |    1 |  7503 |  7503 |
| 41+  |      10 |    1 | 19984 |     0 |
| 42   |      10 |    1 | 19984 | 19984 |
| 42+  |      61 |    0 | 19984 |     0 |
| 43   |      61 |    0 | 19984 |     0 |
| 43+  |      38 |    0 | 19984 |     0 |
| 44   |      38 |    0 | 19984 |     0 |
| 44+  |      24 |    1 | 21920 |     0 |
| 45   |      24 |    1 | 21920 | 21920 |
| 45+  |       6 |    1 | 20723 |  1951 |
| 46   |       6 |    1 | 20723 | 20723 |
| 46+  |      38 |    0 | 20723 |     0 |
| 47   |      38 |    0 | 20723 |     0 |
| 47+  |      25 |    1 |  5644 | 21707 |
| 48   |      25 |    1 |  5644 |  5644 |
| 48+  |      45 |    0 |  5644 |     0 |
| 49   |      45 |    0 |  5644 |     0 |
| 49+  |       0 |    1 | 27314 |     0 |
| 50   |       0 |    1 | 27314 | 27314 |
| 50+  |      53 |    1 | 21349 | 32133 |
| 51   |      53 |    1 | 21349 | 21349 |
| 51+  |      61 |    1 | 25154 |     0 |
| 52   |      61 |    1 | 25154 | 25154 |
| 52+  |      16 |    1 | 31063 | 20165 |
| 53   |      16 |    1 | 31063 | 31063 |
| 53+  |      51 |    1 | 28367 |     0 |
| 54   |      51 |    1 | 28367 | 28367 |
| 54+  |      14 |    0 | 28367 |     0 |
| 55   |      14 |    0 | 28367 |     0 |
| 55+  |      40 |    0 | 28367 |     0 |
| 56   |      40 |    0 | 28367 |     0 |
| 56+  |      38 |    1 | 28294 |     0 |
| 57   |      38 |    1 | 28294 | 28294 |
| 57+  |      18 |    1 |  6021 | 23832 |
| 58   |      18 |    1 |  6021 |  6021 |
| 58+  |      22 |    1 | 20517 |     0 |
| 59   |      22 |    1 | 20517 | 20517 |
| 59+  |      31 |    1 | 13363 |     0 |
| 60   |      31 |    1 | 13363 | 13363 |
| 60+  |      29 |    0 | 13363 |   617 |
| 61   |      29 |    0 | 13363 |   617 |
| 61+  |      52 |    0 | 13363 |     0 |
| 62   |      52 |    0 | 13363 |     0 |
| 62+  |      32 |    0 | 13363 |     0 |
| 63   |      32 |    0 | 13363 |     0 |
| 63+  |      23 |    0 | 13363 |     0 |
| 64   |      23 |    0 | 13363 |     0 |
| 64+  |      26 |    1 |  4243 |  7503 |
| 65   |      26 |    1 |  4243 |  4243 |
| 65+  |      53 |    0 |  4243 | 21349 |
| 66   |      53 |    0 |  4243 | 21349 |
| 66+  |       0 |    0 |  4243 | 27314 |
| 67   |       0 |    0 |  4243 | 27314 |
| 67+  |      16 |    1 | 28614 | 31063 |
| 68   |      16 |    1 | 28614 | 28614 |
| 68+  |      50 |    0 | 28614 | 24338 |
| 69   |      50 |    0 | 28614 | 24338 |
| 69+  |      59 |    0 | 28614 | 10994 |
| 70   |      59 |    0 | 28614 | 10994 |
| 70+  |      11 |    0 | 28614 |     0 |
| 71   |      11 |    0 | 28614 |     0 |
| 71+  |      63 |    0 | 28614 |     0 |
| 72   |      63 |    0 | 28614 |     0 |
| 72+  |      51 |    0 | 28614 | 28367 |
| 73   |      51 |    0 | 28614 | 28367 |
| 73+  |      62 |    1 | 12520 | 29647 |
| 74   |      62 |    1 | 12520 | 12520 |
| 74+  |       8 |    1 | 17774 |     0 |
| 75   |       8 |    1 | 17774 | 17774 |
| 75+  |      61 |    1 |  9381 | 25154 |
| 76   |      61 |    1 |  9381 |  9381 |
| 76+  |      59 |    0 |  9381 | 10994 |
| 77   |      59 |    0 |  9381 | 10994 |
| 77+  |      26 |    0 |  9381 |  4243 |
| 78   |      26 |    0 |  9381 |  4243 |
| 78+  |      58 |    0 |  9381 | 26983 |
| 79   |      58 |    0 |  9381 | 26983 |
| 79+  |      56 |    1 |  6962 |     0 |
| 80   |      56 |    1 |  6962 |  6962 |
| 80+  |      61 |    1 |  5432 |  9381 |
| 81   |      61 |    1 |  5432 |  5432 |
| 81+  |      31 |    1 | 13779 | 13363 |
| 82   |      31 |    1 | 13779 | 13779 |
| 82+  |      47 |    1 | 19822 |     0 |
| 83   |      47 |    1 | 19822 | 19822 |
| 83+  |       1 |    1 | 15039 | 25952 |
| 84   |       1 |    1 | 15039 | 15039 |
| 84+  |      44 |    0 | 15039 |     0 |
| 85   |      44 |    0 | 15039 |     0 |
| 85+  |      29 |    1 |  7678 |   617 |
| 86   |      29 |    1 |  7678 |  7678 |
| 86+  |      17 |    0 |  7678 |     0 |
| 87   |      17 |    0 |  7678 |     0 |
| 87+  |      51 |    1 | 19739 | 28367 |
| 88   |      51 |    1 | 19739 | 19739 |
| 88+  |       2 |    0 | 19739 |     0 |
| 89   |       2 |    0 | 19739 |     0 |
| 89+  |      63 |    0 | 19739 |     0 |
| 90   |      63 |    0 | 19739 |     0 |
| 90+  |       0 |    0 | 19739 | 27314 |
| 91   |       0 |    0 | 19739 | 27314 |
| 91+  |      18 |    1 | 26500 |  6021 |
| 92   |      18 |    1 | 26500 | 26500 |
| 92+  |       1 |    1 | 10807 | 15039 |
| 93   |       1 |    1 | 10807 | 10807 |
| 93+  |      14 |    1 |  2933 |     0 |
| 94   |      14 |    1 |  2933 |  2933 |
| 94+  |      57 |    1 | 24398 |     0 |
| 95   |      57 |    1 | 24398 | 24398 |
| 95+  |      53 |    1 |  3652 | 21349 |
| 96   |      53 |    1 |  3652 |  3652 |
| 96+  |       9 |    0 |  3652 |     0 |
| 97   |       9 |    0 |  3652 |     0 |
| 97+  |      59 |    1 |  9180 | 10994 |
| 98   |      59 |    1 |  9180 |  9180 |
| 98+  |      39 |    1 | 31953 |     0 |
| 99   |      39 |    1 | 31953 | 31953 |
| 99+  |      50 |    0 | 31953 | 24338 |
| 100  |      50 |    0 | 31953 | 24338 |
