| time | up  | out |
| 107  |  1  | 107 |
| 107+ |  1  | 107 |
| 108  |  1  | 108 |
| 108+ |  1  | 108 |
| 109  |  1  | 109 |
| 109+ |  1  | 109 |
| 110  |  1  | 110 |
| 110+ |  1  | 110 |
| 111  |  1  | 111 |
| 111+ |  1  | 111 |
| 112  |  1  | 112 |
| 112+ |  1  | 112 |
| 113  |  1  | 113 |
| 113+ |  1  | 113 |
| 114  |  1  | 114 |
| 114+ |  1  | 114 |
| 115  |  1  | 115 |
| 115+ |  1  | 115 |
| 116  |  1  | 116 |
| 116+ |  1  | 116 |
| 117  |  1  | 117 |
| 117+ |  1  | 117 |
| 118  |  1  | 118 |
| 118+ |  1  | 118 |
| 119  |  1  | 119 |
| 119+ |  1  | 119 |
| 120  |  1  | 120 |
| 120+ |  1  | 120 |
| 121  |  1  | 121 |
| 121+ |  1  | 121 |
| 122  |  1  | 122 |
| 122+ |  1  | 122 |
| 123  |  1  | 123 |
| 123+ |  1  | 123 |
| 124  |  1  | 124 |
| 124+ |  1  | 124 |
| 125  |  1  | 125 |
| 125+ |  1  | 125 |
| 126  |  1  | 126 |
| 126+ |  1  | 126 |
| 127  |  1  | 127 |
| 127+ |  1  | 127 |
| 128  |  1  | 128 |
| 128+ |  1  | 128 |
| 129  |  1  | 129 |
| 129+ |  1  | 129 |
| 130  |  1  | 130 |
| 130+ |  1  | 130 |
| 131  |  1  | 131 |
| 131+ |  1  | 131 |
| 132  |  1  | 132 |
| 132+ |  1  | 132 |
| 133  |  1  | 133 |
| 133+ |  1  | 133 |
| 134  |  1  | 134 |
| 134+ |  1  | 134 |
| 135  |  1  | 135 |
| 135+ |  1  | 135 |
| 136  |  1  | 136 |
| 136+ |  1  | 136 |
| 137  |  1  | 137 |
| 137+ |  1  | 137 |
| 138  |  1  | 138 |
| 138+ |  1  | 138 |
| 139  |  1  | 139 |
| 139+ |  1  | 139 |
| 140  |  1  | 140 |
| 140+ |  1  | 140 |
| 141  |  1  | 141 |
| 141+ |  1  | 141 |
| 142  |  1  | 142 |
| 142+ |  1  | 142 |
| 143  |  1  | 143 |
| 143+ |  1  | 143 |
| 144  |  1  | 144 |
| 144+ |  1  | 144 |
| 145  |  1  | 145 |
| 145+ |  1  | 145 |
| 146  |  1  | 146 |
| 146+ |  1  | 146 |
| 147  |  1  | 147 |
| 147+ |  1  | 147 |
| 148  |  1  | 148 |
| 148+ |  1  | 148 |
| 149  |  1  | 149 |
| 149+ |  1  | 149 |
| 150  |  1  | 150 |
| 150+ |  1  | 150 |
| 151  |  1  | 151 |
| 151+ |  1  | 151 |
| 152  |  1  | 152 |
| 152+ |  1  | 152 |
| 153  |  1  | 153 |
| 153+ |  1  | 153 |
| 154  |  1  | 154 |
| 154+ |  1  | 154 |
| 155  |  1  | 155 |
| 155+ |  1  | 155 |
| 156  |  1  | 156 |
| 156+ |  1  | 156 |
| 157  |  1  | 157 |
| 157+ |  1  | 157 |
| 158  |  1  | 158 |
| 158+ |  1  | 158 |
| 159  |  1  | 159 |
| 159+ |  1  | 159 |
| 160  |  1  | 160 |
| 160+ |  1  | 160 |
| 161  |  1  | 161 |
| 161+ |  1  | 161 |
| 162  |  1  | 162 |
| 162+ |  1  | 162 |
| 163  |  1  | 163 |
| 163+ |  1  | 163 |
| 164  |  1  | 164 |
| 164+ |  1  | 164 |
| 165  |  1  | 165 |
| 165+ |  1  | 165 |
| 166  |  1  | 166 |
| 166+ |  1  | 166 |
| 167  |  1  | 167 |
| 167+ |  1  | 167 |
| 168  |  1  | 168 |
| 168+ |  1  | 168 |
| 169  |  1  | 169 |
| 169+ |  1  | 169 |
| 170  |  1  | 170 |
| 170+ |  1  | 170 |
| 171  |  1  | 171 |
| 171+ |  1  | 171 |
| 172  |  1  | 172 |
| 172+ |  1  | 172 |
| 173  |  1  | 173 |
| 173+ |  1  | 173 |
| 174  |  1  | 174 |
| 174+ |  1  | 174 |
| 175  |  1  | 175 |
| 175+ |  1  | 175 |
| 176  |  1  | 176 |
| 176+ |  1  | 176 |
| 177  |  1  | 177 |
| 177+ |  1  | 177 |
| 178  |  1  | 178 |
| 178+ |  1  | 178 |
| 179  |  1  | 179 |
| 179+ |  1  | 179 |
| 180  |  1  | 180 |
| 180+ |  1  | 180 |
| 181  |  1  | 181 |
| 181+ |  1  | 181 |
| 182  |  1  | 182 |
| 182+ |  1  | 182 |
| 183  |  1  | 183 |
| 183+ |  1  | 183 |
| 184  |  1  | 184 |
| 184+ |  1  | 184 |
| 185  |  1  | 185 |
| 185+ |  1  | 185 |
| 186  |  1  | 186 |
| 186+ |  1  | 186 |
| 187  |  1  | 187 |
| 187+ |  1  | 187 |
| 188  |  1  | 188 |
| 188+ |  1  | 188 |
| 189  |  1  | 189 |
| 189+ |  1  | 189 |
| 190  |  1  | 190 |
| 190+ |  1  | 190 |
| 191  |  1  | 191 |
| 191+ |  1  | 191 |
| 192  |  1  | 192 |
| 192+ |  1  | 192 |
| 193  |  1  | 193 |
| 193+ |  1  | 193 |
| 194  |  1  | 194 |
| 194+ |  1  | 194 |
| 195  |  1  | 195 |
| 195+ |  1  | 195 |
| 196  |  1  | 196 |
| 196+ |  1  | 196 |
| 197  |  1  | 197 |
| 197+ |  1  | 197 |
| 198  |  1  | 198 |
| 198+ |  1  | 198 |
| 199  |  1  | 199 |
| 199+ |  1  | 199 |
| 200  |  1  | 200 |
| 200+ |  1  | 200 |
| 201  |  1  | 201 |
| 201+ |  1  | 201 |
| 202  |  1  | 202 |
| 202+ |  1  | 202 |
| 203  |  1  | 203 |
| 203+ |  1  | 203 |
| 204  |  1  | 204 |
| 204+ |  1  | 204 |
| 205  |  1  | 205 |
| 205+ |  1  | 205 |
| 206  |  1  | 206 |
| 206+ |  1  | 206 |
| 207  |  1  | 207 |
| 207+ |  1  | 207 |
| 208  |  1  | 208 |
| 208+ |  1  | 208 |
| 209  |  1  | 209 |
| 209+ |  1  | 209 |
| 210  |  1  | 210 |
| 210+ |  1  | 210 |
| 211  |  1  | 211 |
| 211+ |  1  | 211 |
| 212  |  1  | 212 |
| 212+ |  1  | 212 |
| 213  |  1  | 213 |
| 213+ |  1  | 213 |
| 214  |  1  | 214 |
| 214+ |  1  | 214 |
| 215  |  1  | 215 |
| 215+ |  1  | 215 |
| 216  |  1  | 216 |
| 216+ |  1  | 216 |
| 217  |  1  | 217 |
| 217+ |  1  | 217 |
| 218  |  1  | 218 |
| 218+ |  1  | 218 |
| 219  |  1  | 219 |
| 219+ |  1  | 219 |
| 220  |  1  | 220 |
| 220+ |  1  | 220 |
| 221  |  1  | 221 |
| 221+ |  1  | 221 |
| 222  |  1  | 222 |
| 222+ |  1  | 222 |
| 223  |  1  | 223 |
| 223+ |  1  | 223 |
| 224  |  1  | 224 |
| 224+ |  1  | 224 |
| 225  |  1  | 225 |
| 225+ |  1  | 225 |
| 226  |  1  | 226 |
| 226+ |  1  | 226 |
| 227  |  1  | 227 |
| 227+ |  1  | 227 |
| 228  |  1  | 228 |
| 228+ |  1  | 228 |
| 229  |  1  | 229 |
| 229+ |  1  | 229 |
| 230  |  1  | 230 |
| 230+ |  1  | 230 |
| 231  |  1  | 231 |
| 231+ |  1  | 231 |
| 232  |  1  | 232 |
| 232+ |  1  | 232 |
| 233  |  1  | 233 |
| 233+ |  1  | 233 |
| 234  |  1  | 234 |
| 234+ |  1  | 234 |
| 235  |  1  | 235 |
| 235+ |  1  | 235 |
| 236  |  1  | 236 |
| 236+ |  1  | 236 |
| 237  |  1  | 237 |
| 237+ |  1  | 237 |
| 238  |  1  | 238 |
| 238+ |  1  | 238 |
| 239  |  1  | 239 |
| 239+ |  1  | 239 |
| 240  |  1  | 240 |
| 240+ |  1  | 240 |
| 241  |  1  | 241 |
| 241+ |  1  | 241 |
| 242  |  1  | 242 |
| 242+ |  1  | 242 |
| 243  |  1  | 243 |
| 243+ |  1  | 243 |
| 244  |  1  | 244 |
| 244+ |  1  | 244 |
| 245  |  1  | 245 |
| 245+ |  1  | 245 |
| 246  |  1  | 246 |
| 246+ |  1  | 246 |
| 247  |  1  | 247 |
| 247+ |  1  | 247 |
| 248  |  1  | 248 |
| 248+ |  1  | 248 |
| 249  |  1  | 249 |
| 249+ |  1  | 249 |
| 250  |  1  | 250 |
| 250+ |  1  | 250 |
| 251  |  1  | 251 |
| 251+ |  1  | 251 |
| 252  |  1  | 252 |
| 252+ |  1  | 252 |
| 253  |  1  | 253 |
| 253+ |  1  | 253 |
| 254  |  1  | 254 |
| 254+ |  1  | 254 |
| 255  |  1  | 255 |
| 255+ |  1  | 255 |
| 256  |  1  |   0 |
| 256+ |  1  |   0 |
| 257  |  1  |   1 |
| 257+ |  1  |   1 |
| 258  |  1  |   2 |
| 258+ |  1  |   2 |
| 259  |  1  |   3 |
| 259+ |  1  |   3 |
| 260  |  1  |   4 |
| 260+ |  1  |   4 |
| 261  |  1  |   5 |
| 261+ |  1  |   5 |
| 262  |  1  |   6 |
| 262+ |  1  |   6 |
| 263  |  1  |   7 |
| 263+ |  1  |   7 |
| 264  |  1  |   8 |
| 264+ |  1  |   8 |
| 265  |  1  |   9 |
| 265+ |  1  |   9 |
| 266  |  1  |  10 |
| 266+ |  1  |  10 |
| 267  |  1  |  11 |
| 267+ |  1  |  11 |
| 268  |  1  |  12 |
| 268+ |  1  |  12 |
| 269  |  1  |  13 |
| 269+ |  1  |  13 |
| 270  |  1  |  14 |
| 270+ |  1  |  14 |
| 271  |  1  |  15 |
| 271+ |  1  |  15 |
| 272  |  1  |  16 |
| 272+ |  1  |  16 |
| 273  |  1  |  17 |
| 273+ |  1  |  17 |
| 274  |  1  |  18 |
| 274+ |  1  |  18 |
| 275  |  1  |  19 |
| 275+ |  1  |  19 |
| 276  |  1  |  20 |
| 276+ |  1  |  20 |
| 277  |  1  |  21 |
| 277+ |  1  |  21 |
| 278  |  1  |  22 |
| 278+ |  1  |  22 |
| 279  |  1  |  23 |
| 279+ |  1  |  23 |
| 280  |  1  |  24 |
| 280+ |  1  |  24 |
| 281  |  1  |  25 |
| 281+ |  1  |  25 |
| 282  |  1  |  26 |
| 282+ |  1  |  26 |
| 283  |  1  |  27 |
| 283+ |  1  |  27 |
| 284  |  1  |  28 |
| 284+ |  1  |  28 |
| 285  |  1  |  29 |
| 285+ |  1  |  29 |
| 286  |  1  |  30 |
| 286+ |  1  |  30 |
| 287  |  1  |  31 |
| 287+ |  1  |  31 |
| 288  |  1  |  32 |
| 288+ |  1  |  32 |
| 289  |  1  |  33 |
| 289+ |  1  |  33 |
| 290  |  1  |  34 |
| 290+ |  1  |  34 |
| 291  |  1  |  35 |
| 291+ |  1  |  35 |
| 292  |  1  |  36 |
| 292+ |  1  |  36 |
| 293  |  1  |  37 |
| 293+ |  1  |  37 |
| 294  |  1  |  38 |
| 294+ |  1  |  38 |
| 295  |  1  |  39 |
| 295+ |  1  |  39 |
| 296  |  1  |  40 |
| 296+ |  1  |  40 |
| 297  |  1  |  41 |
| 297+ |  1  |  41 |
| 298  |  1  |  42 |
| 298+ |  1  |  42 |
| 299  |  1  |  43 |
| 299+ |  1  |  43 |
| 300  |  1  |  44 |
| 300+ |  0  |  44 |
| 301  |  0  |  43 |
| 301+ |  0  |  43 |
| 302  |  0  |  42 |
| 302+ |  0  |  42 |
| 303  |  0  |  41 |
| 303+ |  0  |  41 |
| 304  |  0  |  40 |
| 304+ |  0  |  40 |
| 305  |  0  |  39 |
| 305+ |  0  |  39 |
| 306  |  0  |  38 |
| 306+ |  0  |  38 |
| 307  |  0  |  37 |
| 307+ |  0  |  37 |
| 308  |  0  |  36 |
| 308+ |  0  |  36 |
| 309  |  0  |  35 |
| 309+ |  0  |  35 |
| 310  |  0  |  34 |
| 310+ |  0  |  34 |
| 311  |  0  |  33 |
| 311+ |  0  |  33 |
| 312  |  0  |  32 |
| 312+ |  0  |  32 |
| 313  |  0  |  31 |
| 313+ |  0  |  31 |
| 314  |  0  |  30 |
| 314+ |  0  |  30 |
| 315  |  0  |  29 |
| 315+ |  0  |  29 |
| 316  |  0  |  28 |
| 316+ |  0  |  28 |
| 317  |  0  |  27 |
| 317+ |  0  |  27 |
| 318  |  0  |  26 |
| 318+ |  0  |  26 |
| 319  |  0  |  25 |
| 319+ |  0  |  25 |
| 320  |  0  |  24 |
| 320+ |  0  |  24 |
| 321  |  0  |  23 |
| 321+ |  0  |  23 |
| 322  |  0  |  22 |
| 322+ |  0  |  22 |
| 323  |  0  |  21 |
| 323+ |  0  |  21 |
| 324  |  0  |  20 |
| 324+ |  0  |  20 |
| 325  |  0  |  19 |
| 325+ |  0  |  19 |
| 326  |  0  |  18 |
| 326+ |  0  |  18 |
| 327  |  0  |  17 |
| 327+ |  0  |  17 |
| 328  |  0  |  16 |
| 328+ |  0  |  16 |
| 329  |  0  |  15 |
| 329+ |  0  |  15 |
| 330  |  0  |  14 |
| 330+ |  0  |  14 |
| 331  |  0  |  13 |
| 331+ |  0  |  13 |
| 332  |  0  |  12 |
| 332+ |  0  |  12 |
| 333  |  0  |  11 |
| 333+ |  0  |  11 |
| 334  |  0  |  10 |
| 334+ |  0  |  10 |
| 335  |  0  |   9 |
| 335+ |  0  |   9 |
| 336  |  0  |   8 |
| 336+ |  0  |   8 |
| 337  |  0  |   7 |
| 337+ |  0  |   7 |
| 338  |  0  |   6 |
| 338+ |  0  |   6 |
| 339  |  0  |   5 |
| 339+ |  0  |   5 |
| 340  |  0  |   4 |
| 340+ |  0  |   4 |
| 341  |  0  |   3 |
| 341+ |  0  |   3 |
| 342  |  0  |   2 |
| 342+ |  0  |   2 |
| 343  |  0  |   1 |
| 343+ |  0  |   1 |
| 344  |  0  |   0 |
| 344+ |  0  |   0 |
| 345  |  0  | 255 |
| 345+ |  0  | 255 |
| 346  |  0  | 254 |
| 346+ |  0  | 254 |
| 347  |  0  | 253 |
| 347+ |  0  | 253 |
| 348  |  0  | 252 |
| 348+ |  0  | 252 |
| 349  |  0  | 251 |
| 349+ |  0  | 251 |
| 350  |  0  | 250 |
| 350+ |  0  | 250 |
| 351  |  0  | 249 |
| 351+ |  0  | 249 |
| 352  |  0  | 248 |
| 352+ |  0  | 248 |
| 353  |  0  | 247 |
| 353+ |  0  | 247 |
| 354  |  0  | 246 |
| 354+ |  0  | 246 |
| 355  |  0  | 245 |
| 355+ |  0  | 245 |
| 356  |  0  | 244 |
| 356+ |  0  | 244 |
| 357  |  0  | 243 |
| 357+ |  0  | 243 |
| 358  |  0  | 242 |
| 358+ |  0  | 242 |
| 359  |  0  | 241 |
| 359+ |  0  | 241 |
| 360  |  0  | 240 |
| 360+ |  0  | 240 |
| 361  |  0  | 239 |
| 361+ |  0  | 239 |
| 362  |  0  | 238 |
| 362+ |  0  | 238 |
| 363  |  0  | 237 |
| 363+ |  0  | 237 |
| 364  |  0  | 236 |
| 364+ |  0  | 236 |
| 365  |  0  | 235 |
| 365+ |  0  | 235 |
| 366  |  0  | 234 |
| 366+ |  0  | 234 |
| 367  |  0  | 233 |
| 367+ |  0  | 233 |
| 368  |  0  | 232 |
| 368+ |  0  | 232 |
| 369  |  0  | 231 |
| 369+ |  0  | 231 |
| 370  |  0  | 230 |
| 370+ |  0  | 230 |
| 371  |  0  | 229 |
| 371+ |  0  | 229 |
| 372  |  0  | 228 |
| 372+ |  0  | 228 |
| 373  |  0  | 227 |
| 373+ |  0  | 227 |
| 374  |  0  | 226 |
| 374+ |  0  | 226 |
| 375  |  0  | 225 |
| 375+ |  0  | 225 |
| 376  |  0  | 224 |
| 376+ |  0  | 224 |
| 377  |  0  | 223 |
| 377+ |  0  | 223 |
| 378  |  0  | 222 |
| 378+ |  0  | 222 |
| 379  |  0  | 221 |
| 379+ |  0  | 221 |
| 380  |  0  | 220 |
| 380+ |  0  | 220 |
| 381  |  0  | 219 |
| 381+ |  0  | 219 |
| 382  |  0  | 218 |
| 382+ |  0  | 218 |
| 383  |  0  | 217 |
| 383+ |  0  | 217 |
| 384  |  0  | 216 |
| 384+ |  0  | 216 |
| 385  |  0  | 215 |
| 385+ |  0  | 215 |
| 386  |  0  | 214 |
| 386+ |  0  | 214 |
| 387  |  0  | 213 |
| 387+ |  0  | 213 |
| 388  |  0  | 212 |
| 388+ |  0  | 212 |
| 389  |  0  | 211 |
| 389+ |  0  | 211 |
| 390  |  0  | 210 |
| 390+ |  0  | 210 |
| 391  |  0  | 209 |
| 391+ |  0  | 209 |
| 392  |  0  | 208 |
| 392+ |  0  | 208 |
| 393  |  0  | 207 |
| 393+ |  0  | 207 |
| 394  |  0  | 206 |
| 394+ |  0  | 206 |
| 395  |  0  | 205 |
| 395+ |  0  | 205 |
| 396  |  0  | 204 |
| 396+ |  0  | 204 |
| 397  |  0  | 203 |
| 397+ |  0  | 203 |
| 398  |  0  | 202 |
| 398+ |  0  | 202 |
| 399  |  0  | 201 |
| 399+ |  0  | 201 |
| 400  |  0  | 200 |
| 400+ |  0  | 200 |
| 401  |  0  | 199 |
| 401+ |  0  | 199 |
| 402  |  0  | 198 |
| 402+ |  0  | 198 |
| 403  |  0  | 197 |
| 403+ |  0  | 197 |
| 404  |  0  | 196 |
| 404+ |  0  | 196 |
| 405  |  0  | 195 |
| 405+ |  0  | 195 |
| 406  |  0  | 194 |
| 406+ |  0  | 194 |
| 407  |  0  | 193 |
| 407+ |  0  | 193 |
| 408  |  0  | 192 |
| 408+ |  0  | 192 |
| 409  |  0  | 191 |
| 409+ |  0  | 191 |
| 410  |  0  | 190 |
| 410+ |  0  | 190 |
| 411  |  0  | 189 |
| 411+ |  0  | 189 |
| 412  |  0  | 188 |
| 412+ |  0  | 188 |
| 413  |  0  | 187 |
| 413+ |  0  | 187 |
| 414  |  0  | 186 |
| 414+ |  0  | 186 |
| 415  |  0  | 185 |
| 415+ |  0  | 185 |
| 416  |  0  | 184 |
| 416+ |  0  | 184 |
| 417  |  0  | 183 |
| 417+ |  0  | 183 |
| 418  |  0  | 182 |
| 418+ |  0  | 182 |
| 419  |  0  | 181 |
| 419+ |  0  | 181 |
| 420  |  0  | 180 |
| 420+ |  0  | 180 |
| 421  |  0  | 179 |
| 421+ |  0  | 179 |
| 422  |  0  | 178 |
| 422+ |  0  | 178 |
| 423  |  0  | 177 |
| 423+ |  0  | 177 |
| 424  |  0  | 176 |
| 424+ |  0  | 176 |
| 425  |  0  | 175 |
| 425+ |  0  | 175 |
| 426  |  0  | 174 |
| 426+ |  0  | 174 |
| 427  |  0  | 173 |
| 427+ |  0  | 173 |
| 428  |  0  | 172 |
| 428+ |  0  | 172 |
| 429  |  0  | 171 |
| 429+ |  0  | 171 |
| 430  |  0  | 170 |
| 430+ |  0  | 170 |
| 431  |  0  | 169 |
| 431+ |  0  | 169 |
| 432  |  0  | 168 |
| 432+ |  0  | 168 |
| 433  |  0  | 167 |
| 433+ |  0  | 167 |
| 434  |  0  | 166 |
| 434+ |  0  | 166 |
| 435  |  0  | 165 |
| 435+ |  0  | 165 |
| 436  |  0  | 164 |
| 436+ |  0  | 164 |
| 437  |  0  | 163 |
| 437+ |  0  | 163 |
| 438  |  0  | 162 |
| 438+ |  0  | 162 |
| 439  |  0  | 161 |
| 439+ |  0  | 161 |
| 440  |  0  | 160 |
| 440+ |  0  | 160 |
| 441  |  0  | 159 |
| 441+ |  0  | 159 |
| 442  |  0  | 158 |
| 442+ |  0  | 158 |
| 443  |  0  | 157 |
| 443+ |  0  | 157 |
| 444  |  0  | 156 |
| 444+ |  0  | 156 |
| 445  |  0  | 155 |
| 445+ |  0  | 155 |
| 446  |  0  | 154 |
| 446+ |  0  | 154 |
| 447  |  0  | 153 |
| 447+ |  0  | 153 |
| 448  |  0  | 152 |
| 448+ |  0  | 152 |
| 449  |  0  | 151 |
| 449+ |  0  | 151 |
| 450  |  0  | 150 |
| 450+ |  0  | 150 |
| 451  |  0  | 149 |
| 451+ |  0  | 149 |
| 452  |  0  | 148 |
| 452+ |  0  | 148 |
| 453  |  0  | 147 |
| 453+ |  0  | 147 |
| 454  |  0  | 146 |
| 454+ |  0  | 146 |
| 455  |  0  | 145 |
| 455+ |  0  | 145 |
| 456  |  0  | 144 |
| 456+ |  0  | 144 |
| 457  |  0  | 143 |
| 457+ |  0  | 143 |
| 458  |  0  | 142 |
| 458+ |  0  | 142 |
| 459  |  0  | 141 |
| 459+ |  0  | 141 |
| 460  |  0  | 140 |
| 460+ |  0  | 140 |
| 461  |  0  | 139 |
| 461+ |  0  | 139 |
| 462  |  0  | 138 |
| 462+ |  0  | 138 |
| 463  |  0  | 137 |
| 463+ |  0  | 137 |
| 464  |  0  | 136 |
| 464+ |  0  | 136 |
| 465  |  0  | 135 |
| 465+ |  0  | 135 |
| 466  |  0  | 134 |
| 466+ |  0  | 134 |
| 467  |  0  | 133 |
| 467+ |  0  | 133 |
| 468  |  0  | 132 |
| 468+ |  0  | 132 |
| 469  |  0  | 131 |
| 469+ |  0  | 131 |
| 470  |  0  | 130 |
| 470+ |  0  | 130 |
| 471  |  0  | 129 |
| 471+ |  0  | 129 |
| 472  |  0  | 128 |
| 472+ |  0  | 128 |
| 473  |  0  | 127 |
| 473+ |  0  | 127 |
| 474  |  0  | 126 |
| 474+ |  0  | 126 |
| 475  |  0  | 125 |
| 475+ |  0  | 125 |
| 476  |  0  | 124 |
| 476+ |  0  | 124 |
| 477  |  0  | 123 |
| 477+ |  0  | 123 |
| 478  |  0  | 122 |
| 478+ |  0  | 122 |
| 479  |  0  | 121 |
| 479+ |  0  | 121 |
| 480  |  0  | 120 |
| 480+ |  0  | 120 |
| 481  |  0  | 119 |
| 481+ |  0  | 119 |
| 482  |  0  | 118 |
